Date,Open,High,Low,Close,Volume
1/18/2016 15:30:00,41500,41750,41050,41650,59101
1/19/2016 15:30:00,42500,42950,42000,42000,109011
1/20/2016 15:30:00,41700,42250,40350,40400,206912
1/21/2016 15:30:00,40600,41550,39750,40700,126460
1/22/2016 15:30:00,40700,42750,40700,42500,223268
1/25/2016 15:30:00,43000,43850,42750,43800,185449
1/26/2016 15:30:00,43500,43800,42850,43750,95625
1/27/2016 15:30:00,43500,44550,43400,44100,133830
1/28/2016 15:30:00,44100,44400,43900,44100,94461
1/29/2016 15:30:00,44450,44450,43600,43800,66477
2/1/2016 15:30:00,44300,44300,42600,43550,124044
2/2/2016 15:30:00,43200,43450,42350,42500,73233
2/3/2016 15:30:00,42200,43000,41400,41800,74706
2/4/2016 15:30:00,41800,42150,41550,41850,88805
2/5/2016 15:30:00,41850,42550,41850,42200,82324
2/11/2016 15:30:00,41400,42150,40900,41000,110267
2/12/2016 15:30:00,41000,41050,37950,39500,251917
2/15/2016 15:30:00,38750,39900,38350,38600,241741
2/16/2016 15:30:00,38700,39150,38600,38850,139141
2/17/2016 15:30:00,38900,39150,36450,37000,288520
2/18/2016 15:30:00,37200,37950,37050,37400,193892
2/19/2016 15:30:00,37150,38850,36900,38450,223953
2/22/2016 15:30:00,38600,38900,38050,38700,102535
2/23/2016 15:30:00,39150,39150,36900,37150,392555
2/24/2016 15:30:00,37200,37850,36850,37000,173431
2/25/2016 15:30:00,37450,37550,37200,37300,86974
2/26/2016 15:30:00,37650,37800,37100,37300,125638
2/29/2016 15:30:00,37350,37650,37050,37100,98748
3/2/2016 15:30:00,37250,37600,37050,37250,131787
3/3/2016 15:30:00,37250,38350,37250,38300,176227
3/4/2016 15:30:00,38450,38450,37850,38000,121951
3/7/2016 15:30:00,38100,38750,38050,38150,144325
3/8/2016 15:30:00,38150,38250,37600,37750,101924
3/9/2016 15:30:00,37750,38250,37600,37850,83809
3/10/2016 15:30:00,38150,38650,37900,38650,138642
3/11/2016 15:30:00,38700,39500,38500,39450,190323
3/14/2016 15:30:00,40000,40350,39800,40250,269135
3/15/2016 15:30:00,40250,40250,39050,39200,170306
3/16/2016 15:30:00,39000,39150,38650,38750,98739
3/17/2016 15:30:00,38950,39250,38600,38900,107562
3/18/2016 15:30:00,39300,39350,39050,39100,76970
3/21/2016 15:30:00,39150,39200,38050,38250,185845
3/22/2016 15:30:00,38300,38550,37900,38200,129589
3/23/2016 15:30:00,38400,38750,38100,38300,84184
3/24/2016 15:30:00,38300,38800,38250,38550,84527
3/25/2016 15:30:00,38850,38850,38200,38400,69895
3/28/2016 15:30:00,38250,38750,38000,38400,92221
3/29/2016 15:30:00,38400,39100,38350,38700,131316
3/30/2016 15:30:00,38900,38900,38500,38800,100991
3/31/2016 15:30:00,39000,39400,38700,39100,127106
4/1/2016 15:30:00,39350,39500,39000,39050,80359
4/4/2016 15:30:00,38900,39300,38700,39300,104288
4/5/2016 15:30:00,39050,39300,38050,38350,128396
4/6/2016 15:30:00,38350,38800,38000,38650,91208
4/7/2016 15:30:00,38500,39500,38400,39500,198806
4/8/2016 15:30:00,39750,39850,39050,39600,113743
4/11/2016 15:30:00,39400,39600,38900,39300,98104
4/12/2016 15:30:00,39750,40400,39400,40300,214245
4/14/2016 15:30:00,40600,40650,39300,39300,158795
